"S.N","Branch.Name","BRANCH.UPDATED","City","State","lat","long"
20,"ALAUSA","NIGERIAN INSTITUTION OF ESTATE SURVEYORS & VALUERS (NIESV) BUILDING
PLOT A, BLOCK 12, ELEPHANT CEMENT WAY, OPPOSITE LAGOS STATE SECRETARIAT MOSQUE, CENTRAL BUSINESS DISTRICT ALAUSA, IKEJA, LAGOS","ALAUSA","LAGOS",6.6183528,3.3570607
21,"ALLEN AVENUE","31, ALLEN AVENUE, IKEJA","ALLEN AVENUE","LAGOS",6.6001072,3.3526342
22,"ARIARIA MINI","189, FAULKS ROAD, ARIARIA MARKET, ABA,","ABA","ABIA",5.1134663,7.3398198
24,"ASABA","206 NNEBISI ROAD ASABA","ASABA","DELTA",6.2055772,6.7213444
25,"AWKA","49 ZIKS AVENUE AWKA","AWKA","ANAMBRA",6.137765,6.7764584
26,"AWOLOWO ROAD","85, AWOLOWO ROAD","IKOYI","LAGOS",6.4426091,3.4202683
27,"BALOGUN BUSINESS ASSOCIATION","PLAZA 3A, PORTION C OPPOSITE SOKOTO PLAZA BBA","TRADE FAIR , OJO , LAGOS","LAGOS",13.0058731,5.2475518
28,"BAUCHI","16, YANDOKA ROAD","BAUCHI","BAUCHI",10.3183286,9.8327619
29,"BENIN CITY","71, AKPAKPAVA STREET,","BENIN","EDO",6.3477896,5.6402129
31,"CALABAR","71, NDIDEM USANG ISO ROAD","CALABAR","CROSS RIVER",4.9730242,8.3401703
32,"CHALLENGE","127, NIGER WEST ROAD, ORITA CHALLENGE, IBADAN","CHALLENGE","OYO",7.3446344,3.8726759
33,"DAMATURU","PLOT 591A, NJIWAJI LAYOUT DAMATURU","DAMATURU","YOBE",11.7469961,11.9661922
34,"DEIDE MINI","DEIDE MARKET ROAD, OPPOSITE THE MARKET, DEIDE, ABUJA","ABUJA","ABUJA",9.0562646,7.4985259
35,"DUTSE","SANNI ABACHA WAY DUTSE, JIGAWA","DUTSE","JIGAWA",11.7132348,9.3529846
36,"EGBEDA","38, SHASHA ROAD EGBEDA, LAGOS","EGBEDA","LAGOS",6.5901327,3.3062179
37,"EKET","EKET TOWN/2 GRACE BILL ROAD, EKET","EKET","AKWA IBOM",4.643744,7.928035
38,"ELEME CASH CENTER","IEPPL COMPLEX EAST WEST ROAD PORT HARCOURT","PORT HARCOURT","RIVERS",4.8472226,6.974604
39,"ENUGU","252, OGUI ROAD, EBEANO HOUSING ESTATE","ENUGU","ENUGU",6.4558817,7.5086284
40,"FESTAC","23 ROAD, FESTAC TOWN","FESTAC, LAGOS","LAGOS",6.4687705,3.2751984
41,"GARKI (AREA 3)","INFINITY HOUSE, 11 KAURA NAMODA STREET","ABUJA","ABUJA",9.0292558,7.4763425
42,"GBAGADA","15, DIYA STREET, IFAKO, GBAGADA, LAGOS","GBAGADA","LAGOS",6.5514668,3.3920016
43,"GBAGI (IBADAN)","NO. 1, LEBANON STREET, AJE HOUSE","GBAGI","OYO",7.387351,3.8854268
44,"GBOKO","NO. 37, CAPTAIN DOWNES ROAD","GBOKO","BENUE",7.3366019,9.0019724
45,"GOMBE","22, BIU ROAD GOMBE","GOMBE","GOMBE",10.2763637,11.2347327
46,"GUSAU","10, SANNI ABACHA ROAD GUSAU","GUSAU","ZAMFARA",12.1628466,6.6745042
47,"GWAGWALADA","PLOT 415, SPECIALIST HOSPITAL ROAD GWAGWALADA","Gwagalada","ABUJA",8.9508329,7.0767365
48,"HEAD OFFICE BRANCH -IBTC PLACE","I.B.T.C PLACE WALTER CARRINGTON","VICTORIA ISLAND","LAGOS",6.4379813,3.4082514
49,"HERBERT MACAULAY","220, HERBERT MACAULAY WAY","YABA","LAGOS",6.4984036,3.3791321
50,"HOTORO MINI","4, MAIDUGURI ROAD, KANO","HOTORO","KANO",11.9667172,8.5809765
51,"IBADAN MAIN","TOTAL GARDEN, UCH/ SECRETARIAT ROAD, AGODI","AGODI","OYO",7.3982121,3.9092204
52,"IDEJO","1712 IDEJO STREET VICTORIA ISLAND, LAGOS","VICTORIA ISLAND","LAGOS",6.4263955,3.4142658
53,"IDUMAGBO","61A, IDUMAGBO AVENUE, LAGOS ISLAND","LAGOS ISLAND","LAGOS",6.45855,3.3885393
54,"IFE","5, OBALUFON-LAGERE ROAD, CATHOLIC LAGERE","IFE","OSUN",7.4844536,4.5550995
55,"IGANDO","51, LASU-IBA ROAD, IGANDO LAGOS","IGANDO, LAGOS","LAGOS",6.535889,3.2483058
56,"IJEBU ODE","58, IBADAN ROAD IJEBU ODE","IJEBU ODE","OGUN",6.8309455,3.9213445
57,"IKEJA CITY MALL","SHOP L55, IKEJA CITY MALL, ALAUSA, IKEJA, LAG","IKEJA","LAGOS",6.6143564,3.3581327
58,"IKEJA SERVICE CENTRE","43, OPEBI ROAD, IKEJA","IKEJA","LAGOS",6.5889222,3.3614147
59,"IKORODU","108, LAGOS ROAD IKORODU","IKORODU","LAGOS",6.6102326,3.5146826
61,"IKOTUN BRANCH","45, IDIMU ROAD, IKOTUN, LAGOS STATE","IKOTUN","LAGOS",6.5499818,3.2685019
62,"ILESHA","A198, OSOGBO ROAD, ISOKUN, ILESHA","ILESHA","OSUN",7.6433238,4.7459721
63,"ILORIN","13 UNITY ROAD, OPPOSITE UNITED SECONDARY SCHOOL, ILORIN, KWARA STATE","ILORIN","KWARA",8.4804926,4.5593969
